country,coal_cons_change_pct,gas_cons_change_pct,hydro_cons_change_pct,nuclear_cons_change_pct,oil_cons_change_pct
Algeria,-50.88100000000001,-7.574999999999999,-97.28299999999999,,-14.585999999999999
Argentina,64.02199999999999,-1.2430000000000003,0.847999999999999,-4.2620000000000005,-1.205
Australia,0.6509999999999998,-22.411,21.862,,-12.596
Austria,-19.614,-6.651,-5.599,,-16.047
Azerbaijan,-31.190000000000005,-4.101,-20.159999999999997,,-9.228
Bangladesh,-59.333000000000006,-16.073999999999998,-9.983,,-13.846
Belarus,-42.373,-6.601,5.627000000000001,,-5.6579999999999995
Belgium,-22.578,-5.275,-14.942,-73.079,-8.053999999999998
Brazil,-3.120000000000001,-11.622,-2.666,-15.776,-5.166
Bulgaria,-11.526,9.524,39.355000000000004,-2.2409999999999997,-15.029
Canada,-7.0600000000000005,-3.654,2.32,-3.43,-14.718
Chile,-16.61,-19.811,9.552999999999999,,-8.146
China,-0.4549999999999996,0.5459999999999994,-2.279,-13.184,-3.9539999999999997
Colombia,-29.478,0.851,-4.54,,-15.494
Croatia,-29.613,-0.006999999999999673,21.535,,-11.902
Denmark,31.701,-12.697,-13.447,,-15.415000000000001
Ecuador,251.356,-3.8820000000000014,-20.413999999999998,,-16.189
Egypt,-52.289,-0.30399999999999994,-3.093,,-7.659999999999999
Estonia,8.440000000000001,-0.8709999999999996,31.228,,13.780999999999999
Finland,-7.404999999999998,5.077,34.501,-7.151,-9.543
France,-8.774999999999999,-8.975,22.472,-7.95,-15.682000000000002
Germany,5.102,-6.4350000000000005,-18.66,-13.01,-10.603
Greece,-10.587000000000003,0.363999999999999,13.962999999999997,,-22.075
Hong Kong,-42.499,55.39,,,-23.231
Hungary,5.029,1.242,12.767,-4.958,-9.808
India,-5.648,-0.2869999999999999,-14.956,-16.869,-12.334000000000001
Indonesia,-26.664,-6.765,17.149,,-9.395
Iran,-6.331999999999999,5.712999999999999,-275.704,5.6419999999999995,-8.620000000000001
Ireland,14.110999999999999,-2.1689999999999996,-22.537,,-15.397
Israel,-18.521,3.702,12.578,,-14.594999999999999
Italy,0.8269999999999982,-6.75,7.81,,-14.512999999999998
Japan,-5.009,2.8589999999999995,14.709,-68.149,-8.608
Kazakhstan,-0.08199999999999985,-28.589,0.3460000000000001,,-14.019
Latvia,-24.550999999999995,-13.844000000000001,36.835,,-27.082
Lithuania,-15.863,13.068,6.862,,-6.139
Luxembourg,-25.561999999999998,-9.241,-29.560000000000002,,-19.901
Malaysia,23.208000000000002,-4.745,4.7010000000000005,,-25.607
Mexico,-51.269000000000005,-4.677,40.397999999999996,17.342,-9.229
Morocco,-26.357,-16.828,-5.861000000000001,,-14.174
Netherlands,-13.775000000000002,-7.288,-40.43600000000001,-6.694999999999999,-2.393
New Zealand,-11.558,-11.535,-2.7059999999999995,,-19.884
Norway,1.2460000000000002,-6.375,22.323,,-2.867000000000001
Pakistan,2.342999999999998,-9.481,-11.922999999999998,4.7090000000000005,8.791
Peru,-31.435000000000002,-2.821,-5.383,,-26.994
Philippines,-6.559,-11.962000000000002,4.442,,-20.5
Poland,3.5949999999999998,-3.9890000000000003,8.754,,-7.2059999999999995
Portugal,-0.5260000000000034,-7.391,65.869,,-21.805999999999997
Romania,-24.707,11.34,10.508,2.502,-7.869
Russia,-6.0280000000000005,-2.4469999999999996,7.3309999999999995,1.162,-5.909
Slovenia,1.7640000000000002,-0.609,14.931000000000001,8.354000000000001,-11.650000000000002
South Africa,-8.690999999999999,-3.429,130.526,-39.711,-18.076999999999998
South Korea,-6.860999999999999,5.744999999999999,56.024,0.4919999999999991,-3.7119999999999997
Spain,14.285999999999994,-23.9,70.17699999999999,-4.465,-19.812
Sweden,-17.346,-4.681,5.635,-22.075,-9.285
Switzerland,7.252000000000001,-5.269,-9.193,-12.606,-19.622
Taiwan,-4.547000000000001,8.685,-69.27199999999999,-19.515,1.354
Thailand,17.794999999999998,-9.862,-11.111,,-11.623000000000001
Trinidad and Tobago,,-13.659,,,-15.468
Turkey,-5.699999999999999,14.765,-60.268,,-4.53
Ukraine,-5.328999999999999,11.109,53.804,-6.539999999999999,-4.242
United Kingdom,19.634,-4.836,6.7780000000000005,3.1370000000000005,-21.017
United States,-4.254,-5.466,0.45699999999999996,-2.7009999999999996,-12.017
Uzbekistan,48.516999999999996,-2.726,-32.215,,5.048
Venezuela,-2.2799999999999976,3.412000000000001,10.827,,-41.172
Vietnam,-27.107000000000003,-12.094,30.628,,-17.962
