Country,actual,expected,deviation
Canada,-6.051535702040474,-0.5456421282753062,-5.505893573765168
Mexico,-8.900480402077982,-1.0534455645424403,-7.847034837535541
United States,-7.358754712078265,-0.7116188439834349,-6.64713586809483
Argentina,-6.20361481619339,-5.789354384494617,-0.41426043169877325
Brazil,-3.9225712498218144,1.639323183038666,-5.5618944328604805
Chile,-6.6460947939779205,1.2174511251439888,-7.8635459191219095
Colombia,-8.985638195417684,0.8548475521003731,-9.840485747518057
Ecuador,-13.471954508255743,2.399877044124575,-15.871831552380318
Peru,-11.85654428402652,2.5628050959559836,-14.419349379982503
Trinidad and Tobago,-13.247687169114164,0.6002109087729327,-13.847898077887097
Venezuela,-19.652081149032124,-9.741313253570116,-9.910767895462008
Austria,-6.499740641981054,4.78897547483448,-11.288716116815534
Belgium,-10.078386134170577,3.389494855755472,-13.467880989926048
Bulgaria,-7.647080174010656,-3.319152465542393,-4.3279277084682635
Croatia,-4.628510580016579,-2.3912306273455632,-2.237279952671016
Denmark,-9.9775615487747,-2.034995698735961,-7.942565850038739
Estonia,-6.416992664329202,-19.412603997792882,12.99561133346368
Finland,-3.98550831547006,-2.0546298331772332,-1.9308784822928269
France,-10.56566419678035,-2.129595528114689,-8.436068668665662
Germany,-6.792111473801573,-2.451177654521119,-4.340933819280455
Greece,-12.601066161269989,-2.2151471157813027,-10.385919045488686
Hungary,-1.660721454413135,1.3605764070170188,-3.0212978614301536
Ireland,-6.02150358942313,0.47416231588392743,-6.495665905307058
Italy,-9.210678342354774,-1.8387887106769294,-7.371889631677844
Latvia,-8.87440447129697,2.921353015403141,-11.795757486700111
Lithuania,-0.42868558365091597,-0.524617428222242,0.09593184457132603
Luxembourg,-14.268773901910498,1.8463953954343237,-16.11516929734482
Netherlands,-3.148075544424479,-0.4324507479711876,-2.7156247964532914
Norway,7.8520206326696735,-6.473620789239192,14.325641421908866
Poland,-4.045714221954224,-2.8488040702238795,-1.1969101517303447
Portugal,-9.48928089041312,-4.761048693590237,-4.728232196822883
Romania,-3.733291439168333,-2.100114117159313,-1.6331773220090202
Slovenia,-3.383564081897486,-2.89917960817313,-0.4843844737243561
Spain,-10.159354833289083,-2.75073410713978,-7.4086207261493024
Sweden,-4.081001236223391,2.728864425330519,-6.80986566155391
Switzerland,-8.142936486031465,4.507312901357934,-12.650249387389398
Turkey,-1.4812279932884733,3.4283057041759135,-4.909533697464386
Ukraine,-4.094504063286395,-5.368187003554939,1.273682940268544
United Kingdom,-10.362601788641319,-2.124485872818261,-8.238115915823059
Azerbaijan,-0.5175575297939261,5.519713457758735,-6.037270987552661
Belarus,-7.204233113123043,0.512718912301179,-7.716952025424222
Kazakhstan,-7.8595442939162545,1.2055939761001122,-9.065138270016366
Russia,-3.477405637637215,-0.737391284890368,-2.7400143527468472
Uzbekistan,-0.3929049262489128,0.3735777832747865,-0.7664827095236993
Iran,3.798543002422398,5.4281917200755325,-1.6296487176531347
Israel,-5.429627431526617,3.1806630509831098,-8.610290482509727
Algeria,-6.545706449138727,3.6930029823289594,-10.238709431467687
Egypt,-5.902088145269878,-1.8891743887115557,-4.012913756558322
Morocco,-8.075705679564903,9.109064466852777,-17.18477014641768
South Africa,-6.246468654102923,4.540324134530338,-10.78679278863326
Australia,-5.638469434711158,3.375818920945184,-9.014288355656342
Bangladesh,-5.2171261621784835,12.148063636446253,-17.365189798624737
China,3.247611940114116,4.6313905862687825,-1.3837786461546666
Hong Kong,-25.15621431303292,-5.233806513653319,-19.9224077993796
India,-5.2480074493451365,2.522450225203984,-7.770457674549121
Indonesia,-5.908628027359417,6.878641028099762,-12.787269055459179
Japan,-7.305452974215925,-2.0881804440304323,-5.217272530185492
Malaysia,-3.574546635379247,2.579902958615685,-6.154449593994933
New Zealand,-9.26398464627408,2.017549550785243,-11.281534197059322
Pakistan,-0.5393767431820515,1.1828497485831948,-1.7222264917652463
Philippines,-9.250403788509285,2.987630647267165,-12.23803443577645
South Korea,-3.3416649916002266,-1.1525518641595618,-2.189113127440665
Taiwan,-2.9291347881338887,-1.9227693104499428,-1.006365477683946
Thailand,-7.027332752806842,0.09259380559573656,-7.119926558402579
Vietnam,0.14616186771964632,11.01864386912982,-10.872482001410173
